player,city,state,region,song_chart,rank,score,chartsteps,steps,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,player_side,order,velocity,gender,fd,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,titles,lon,lat,locations
keitorin,Garden Grove,CA,socal,helix_s16,1,2736200,717,717,643,74,0,0,0,717,Sg,nx absolute,p1,3,670,f,n,0.89679219,0.10320781,0,0,0,1,"Helix, S16",-117.9379952,33.7742692,Garden Grove CA
haru-kaze,Dallas,TX,texas,helix_s16,2,2401600,717,717,638,61,13,5,0,558,Sb,nx,p2,3,656,f,n,0.889818689,0.085076709,0.018131102,0.006973501,0,0.778242678,"Helix, S16",-96.7969879,32.7766642,Dallas TX
nlolz,Deer Field Beach,FL,florida,helix_s16,3,2390900,717,716,655,57,3,1,1,450,A,prime,p1,6,690,f,n,0.913528591,0.079497908,0.0041841,0.0013947,0.0013947,0.627615063,"Helix, S16",-80.0997657,26.3184123,Deer Field Beach FL
rsiren,Long Beach,CA,socal,helix_s16,4,2127900,717,714,609,95,7,3,3,263,A,easy,p1,4,660,f,n,0.849372385,0.132496513,0.009762901,0.0041841,0.0041841,0.366806137,"Helix, S16",-118.1937395,33.7700504,Long Beach CA
kayfang,San Diego,CA,sd,helix_s16,5,1973700,717,715,522,155,33,5,2,214,A,old,p2,5,701,f,n,0.728033473,0.216178522,0.046025105,0.006973501,0.0027894,0.29846583,"Helix, S16",-117.1610838,32.715738,San Diego CA
figgies,Chino Hills,CA,socal,helix_s16,6,1923800,717,711,647,48,10,6,6,190,A,old,p2,2,650,f,y,0.90237099,0.066945607,0.013947001,0.008368201,0.008368201,0.264993026,"Helix, S16",-117.7325848,33.9898188,Chino Hills CA
pez,Seattle,WA,washington,helix_s16,7,1848300,717,712,607,94,6,5,5,127,A,fiesta,p2,1,560,f,n,0.846582985,0.131101813,0.008368201,0.006973501,0.006973501,0.177126918,"Helix, S16",-122.3320708,47.6062095,Seattle WA
niak,San Diego,CA,sd,helix_s16,8,1776500,717,711,462,199,42,8,6,257,A,nx absolute,p1,5,660,f,n,0.644351464,0.277545328,0.058577406,0.011157601,0.008368201,0.358437936,"Helix, S16",-117.1610838,32.715738,San Diego CA
melissa,,,norcal,helix_s16,9,1566300,717,704,431,185,76,12,13,221,B,nx,p2,6,610,f,n,0.60111576,0.258019526,0.105997211,0.016736402,0.018131102,0.308228731,"Helix, S16",NA,NA, 
julina,,MN,minnesota,helix_s16,10,1520400,717,710,471,181,43,15,7,194,A,prime 2,p1,1,580,f,y,0.656903766,0.252440725,0.059972106,0.020920502,0.009762901,0.270571827,"Helix, S16",-94.6858998,46.729553, MN
alondra,San Diego,CA,sd,helix_s16,11,1199000,717,709,398,179,112,20,8,110,C,fiesta,p2,4,640,f,n,0.555090656,0.249651325,0.156206416,0.027894003,0.011157601,0.153417015,"Helix, S16",-117.1610838,32.715738,San Diego CA
yuki,Raleigh,NC,nc,helix_s16,12,1036600,717,659,408,147,76,28,58,91,D,nx absolute,p1,2,593,f,n,0.569037657,0.205020921,0.105997211,0.039051604,0.080892608,0.126917713,"Helix, S16",-78.6381787,35.7795897,Raleigh NC
