player,round,opponent,city,state,region,song_chart,chartsteps,steps,score,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,order,gender,player_side,velocity,fd,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,matchup,titles,lon,lat,locations
keitorin,1,pez,Garden Grove,CA,socal,travel_to_the_future_s19,995,953,2625800,751,161,33,8,42,236,A,nx absolute,NULL,f,p1,670,n,0.754773869,0.161809045,0.033165829,0.008040201,0.042211055,0.23718593,keitorin vs. pez,"Travel To The Future, S19",-117.9379952,33.7742692,Garden Grove CA
keitorin,1,pez,Garden Grove,CA,socal,renai_yuusha_s19,1173,1125,2989300,863,171,59,32,48,214,C,nx absolute,NULL,f,p1,670,n,0.735720375,0.145780051,0.05029838,0.027280477,0.040920716,0.182438193,keitorin vs. pez,"Renai Yuusha, S19",-117.9379952,33.7742692,Garden Grove CA
pez,1,keitorin,Seattle,WA,washington,travel_to_the_future_s19,995,918,2236600,640,188,64,26,77,174,D,nx,NULL,f,p2,610,n,0.64321608,0.188944724,0.064321608,0.026130653,0.077386935,0.174874372,pez vs. keitorin,"Travel To The Future, S19",-122.3320708,47.6062095,Seattle WA
pez,1,keitorin,Seattle,WA,washington,renai_yuusha_s19,1173,1101,2321100,847,174,45,35,72,125,C,nx,NULL,f,p2,636,n,0.722080136,0.148337596,0.038363171,0.029838022,0.061381074,0.106564365,pez vs. keitorin,"Renai Yuusha, S19",-122.3320708,47.6062095,Seattle WA
haru-kaze,1,figgies,Dallas,TX,texas,nakakapagpabagabag_s18,1283,1259,4107800,1142,89,23,5,24,287,A,nx,NULL,f,p1,996,n,0.890101325,0.069368667,0.017926734,0.003897116,0.018706157,0.223694466,haru-kaze vs. figgies,"Nakakapagpabagabag, S18",-96.7969879,32.7766642,Dallas TX
haru-kaze,1,figgies,Dallas,TX,texas,setsuna_trip_s18,1168,1168,4468300,1042,105,17,4,0,732,Sb,nx,NULL,f,p1,656,n,0.892123288,0.08989726,0.014554795,0.003424658,0,0.626712329,haru-kaze vs. figgies,"Setsuna Trip, S18",-96.7969879,32.7766642,Dallas TX
figgies,1,haru-kaze,Chino Hills,CA,socal,nakakapagpabagabag_s18,1283,1166,2810000,1102,61,1,2,117,115,D,old,NULL,f,p2,999,y,0.858924396,0.047544817,0.000779423,0.001558846,0.091192518,0.089633671,figgies vs. haru-kaze,"Nakakapagpabagabag, S18",-117.7325848,33.9898188,Chino Hills CA
figgies,1,haru-kaze,Chino Hills,CA,socal,setsuna_trip_s18,1168,1138,3001700,969,149,14,6,30,167,A,old,NULL,f,p2,656,y,0.829623288,0.127568493,0.011986301,0.005136986,0.025684932,0.142979452,figgies vs. haru-kaze,"Setsuna Trip, S18",-117.7325848,33.9898188,Chino Hills CA
nlolz,1,kayfang,Deer Field Beach,FL,florida,hyperion_s18,1161,1149,4287100,941,202,2,4,12,995,A,prime,NULL,f,p1,690,n,0.810508183,0.173987941,0.001722653,0.003445306,0.010335917,0.857019811,nlolz vs. kayfang,"Hyperion, S18",-80.0997657,26.3184123,Deer Field Beach FL
nlolz,1,kayfang,Deer Field Beach,FL,florida,achluoias_s18,1072,1070,4130400,919,145,6,0,2,505,A,prime,NULL,f,p1,690,n,0.857276119,0.135261194,0.005597015,0,0.001865672,0.47108209,nlolz vs. kayfang,"Achluoias, S18",-80.0997657,26.3184123,Deer Field Beach FL
kayfang,1,nlolz,San Diego,CA,sd,hyperion_s18,1161,1151,3513000,863,194,79,15,10,376,A,old,NULL,f,p2,701,n,0.74332472,0.16709733,0.068044789,0.012919897,0.008613264,0.323858742,kayfang vs. nlolz,"Hyperion, S18",-117.1610838,32.715738,San Diego CA
kayfang,1,nlolz,San Diego,CA,sd,achluoias_s18,1072,1051,2840100,743,209,86,13,21,249,B,old,NULL,f,p2,701,n,0.693097015,0.194962687,0.080223881,0.012126866,0.019589552,0.232276119,kayfang vs. nlolz,"Achluoias, S18",-117.1610838,32.715738,San Diego CA
