player,city,state,region,song_chart,vers,score,steps,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,player_side,order,velocity,fd,mirror,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,titles,lon,lat,locations,d_scr,rank
branman,Fremont,CA,norcal,up_and_up_s03,prime2,79000,112,82,15,10,5,21,44,F,Prime 2,p1,1,300,n,n,0.616541353,0.112781955,0.07518797,0.037593985,0.157894737,0.330827068,"Up And Up, S03",-121.9885719,37.5482697,Fremont CA,0,DQ
captain canada,Oakland,CA,norcal,move_that_body_dp03,prime,82300,85,70,14,1,0,17,13,D,Prime 2,NULL,2,145,n,n,0.68627451,0.137254902,0.009803922,0,0.166666667,0.12745098,"Move That Body , DP03",-122.2711137,37.8043637,Oakland CA,52.17,8
melvis,San Jose,CA,norcal,me_gustas_tu_dp04,prime2,89500,85,70,14,1,0,5,24,A,Prime 2,NULL,3,212,n,y,0.777777778,0.155555556,0.011111111,0,0.055555556,0.266666667,"Me Gustas Tu , DP04",-121.8863286,37.3382082,San Jose CA,61.83,4
dakree,Vallejo,CA,norcal,you're_the_best_dp02,prime2,70200,69,53,13,2,1,2,40,A,Prime 2,NULL,4,122,n,y,0.746478873,0.183098592,0.028169014,0.014084507,0.028169014,0.563380282,"You're The Best , DP02",-122.2566367,38.1040864,Vallejo CA,71.67,1
ultshya,Las Vegas,NV,lv,hate_don't_hate_d06,prime,183600,190,168,17,3,2,48,36,F,Prime 2,NULL,5,123,n,n,0.705882353,0.071428571,0.012605042,0.008403361,0.201680672,0.151260504,"Hate Don't Hate, D06",-115.1398296,36.1699412,Las Vegas NV,0,DQ
kanauru,Daly City,CA,norcal,supermagic_s02,prime,220300,95,64,28,3,0,0,92,Blue S,Prime 2,p1,6,224,n,n,0.673684211,0.294736842,0.031578947,0,0,0.968421053,"Supermagic, S02",-122.4702079,37.6879241,Daly City CA,54.67,7
kay0ss,San Jose,CA,norcal,you_got_me_crazy_dp04,prime,137800,136,126,6,3,1,32,44,F,Prime 2,NULL,7,256,n,n,0.75,0.035714286,0.017857143,0.005952381,0.19047619,0.261904762,"You Got Me Crazy , DP04",-121.8863286,37.3382082,San Jose CA,0,DQ
001',Oakland,CA,norcal,removable_disk0_dp03,prime,95100,98,77,12,1,8,25,25,B,Prime 2,NULL,8,260,n,n,0.62601626,0.097560976,0.008130081,0.06504065,0.203252033,0.203252033,"Removable Disk0 , DP03",-122.2711137,37.8043637,Oakland CA,63.33,3
aj,,MN,minnesota,on_and_on_d05,prime,306600,199,189,10,0,0,3,86,A,nx,NULL,9,178.5,n,n,0.935643564,0.04950495,0,0,0.014851485,0.425742574,"On And On, D05",-94.6858998,46.729553, MN,66.83,2
gabaum,Redwood City,CA,norcal,supermagic_d05,prime,254700,186,168,17,0,1,6,89,A,Prime 2,NULL,10,224,n,n,0.875,0.088541667,0,0.005208333,0.03125,0.463541667,"Supermagic, D05",-122.2363548,37.4852152,Redwood City CA,59.17,5
ramram,San Jose,CA,norcal,meteorize_dp03,prime,77400,97,55,25,14,3,8,30,D,Prime 2,NULL,11,272,n,n,0.523809524,0.238095238,0.133333333,0.028571429,0.076190476,0.285714286,"Meteorize , DP03",-121.8863286,37.3382082,San Jose CA,55.5,6
