player,round,opponent,city,state,region,song_chart,chartsteps,steps,score,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,order,player_side,velocity,gender,fd,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,matchup,titles,lon,lat,locations
mrclickman,1,f33tz,San Diego,CA,sd,further_s22,1218,1202,5442200,990,178,27,7,16,575,A,old,NULL,p1,731,m,n,0.812807882,0.146141215,0.022167488,0.005747126,0.013136289,0.472085386,mrclickman vs. f33tz,"Further, S22",-117.1610838,32.715738,San Diego CA
mrclickman,1,f33tz,San Diego,CA,sd,donatello_s21,1061,1053,4521800,938,109,3,3,8,797,A,old,NULL,p1,704,m,n,0.884071631,0.10273327,0.002827521,0.002827521,0.007540057,0.751178134,mrclickman vs. f33tz,"Donatello, S21",-117.1610838,32.715738,San Diego CA
f33tz,1,mrclickman,Chino Hills,CA,socal,further_s22,1218,1213,6038400,1143,57,8,5,5,902,A,old,NULL,p2,650,m,y,0.938423645,0.04679803,0.006568144,0.00410509,0.00410509,0.740558292,f33tz vs. mrclickman,"Further, S22",-117.7325848,33.9898188,Chino Hills CA
f33tz,1,mrclickman,Chino Hills,CA,socal,donatello_s21,1061,1060,5081500,1052,8,0,0,1,641,A,old,NULL,p2,660,m,y,0.991517436,0.007540057,0,0,0.000942507,0.604147031,f33tz vs. mrclickman,"Donatello, S21",-117.7325848,33.9898188,Chino Hills CA
kooper,1,chaddly,Fullerton,CA,socal,good_night_s23,1365,1306,4622700,993,241,43,29,59,332,B,prime,NULL,p1,720,m,n,0.727472527,0.176556777,0.031501832,0.021245421,0.043223443,0.243223443,kooper vs. chaddly,"Good Night, S23",-117.9242123,33.8703645,Fullerton CA
kooper,1,chaddly,Fullerton,CA,socal,hyacinth_s21,1447,1434,5746200,1167,223,33,11,13,632,A,prime,NULL,p1,710,m,n,0.806496199,0.154111956,0.022805805,0.007601935,0.008984105,0.436765722,kooper vs. chaddly,"Hyacinth, S21",-117.9242123,33.8703645,Fullerton CA
chaddly,1,koopah,New Orleans,LA,nola,good_night_s23,1365,1339,6114300,1180,119,27,13,26,337,A,fiesta,NULL,p2,660,m,n,0.864468864,0.087179487,0.01978022,0.00952381,0.019047619,0.246886447,chaddly vs. koopah,"Good Night, S23",-90.0715323,29.9510658,New Orleans LA
chaddly,1,koopah,New Orleans,LA,nola,hyacinth_s21,1447,1446,6811400,1324,98,15,9,1,1319,A,fiesta,NULL,p2,660,m,n,0.914996545,0.06772633,0.010366275,0.006219765,0.000691085,0.91154112,chaddly vs. koopah,"Hyacinth, S21",-90.0715323,29.9510658,New Orleans LA
jboy,1,bbcplat,Raleigh,NC,nc,yog_sothoth_s23,1400,1370,6320900,1246,70,42,12,30,871,A,sheep,NULL,p1,613,m,n,0.89,0.05,0.03,0.008571429,0.021428571,0.622142857,jboy vs. bbcplat,"Yog Sothoth, S23",-78.6381787,35.7795897,Raleigh NC
jboy,1,bbcplat,Raleigh,NC,nc,1950_s23,1500,1468,5910500,1077,290,75,26,32,268,A,sheep,NULL,p1,633,m,n,0.718,0.193333333,0.05,0.017333333,0.021333333,0.178666667,jboy vs. bbcplat,"1950, S23",-78.6381787,35.7795897,Raleigh NC
